Name                                               Type       File
1c616b24-3895-48c4-9a02-9a64110351ef               Instance   instances.fsh
66033                                              Instance   instances.fsh
75680                                              Instance   instances.fsh
890751f4-2924-4636-bab7-efffc7f3cf15               Instance   instances.fsh
AbatementDateTimeUvIps                             Extension  extensions.fsh
ActiveSubstancesUvIps                              ValueSet   valueSets.fsh
AllergyIntoleranceSubstanceConditionUvIps          ValueSet   valueSets.fsh
AllergyIntoleranceUvIps                            Profile    AllergyIntoleranceUvIps.fsh
AllergyReactionGpsUvIps                            ValueSet   valueSets.fsh
AllergyintolerancesubstanceconditionGPS            ValueSet   valueSets.fsh
BundleUvIps                                        Profile    BundleUvIps.fsh
CodeableConceptIPS                                 Profile    CodeableConceptIPS.fsh
CodingIPS                                          Profile    CodingIPS.fsh
CompositionUvIps                                   Profile    CompositionUvIps.fsh
ConditionUvIps                                     Profile    ConditionUvIps.fsh
CoreProblemListFindingSituationEventGpsUvIps       ValueSet   valueSets.fsh
DeviceObserverUvIps                                Profile    DeviceObserverUvIps.fsh
DeviceUseStatementUvIps                            Profile    DeviceUseStatementUvIps.fsh
DeviceUvIps                                        Profile    DeviceUvIps.fsh
DiagnosticReportUvIps                              Profile    DiagnosticReportUvIps.fsh
DoseFormUvIps                                      ValueSet   valueSets.fsh
ExpectedDeliveryDateMethodUvIps                    ValueSet   valueSets.fsh
HealthcareProfessionalRolesUvIps                   ValueSet   valueSets.fsh
IPS-examples-Bundle-01                             Instance   instances.fsh
IPS-examples-Bundle-minimal                        Instance   instances.fsh
ImagingStudyUvIps                                  Profile    ImagingStudyUvIps.fsh
ImmunizationUvIps                                  Profile    ImmunizationUvIps.fsh
Inline-Instance-for-IPS-examples-Bundle-01-1       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-10      Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-11      Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-12      Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-2       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-5       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-6       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-7       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-8       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-01-9       Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-minimal-1  Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-minimal-2  Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-minimal-7  Instance   instances.fsh
Inline-Instance-for-IPS-examples-Bundle-minimal-8  Instance   instances.fsh
MediaObservationUvIps                              Profile    MediaObservationUvIps.fsh
MedicalDevicesUvIps                                ValueSet   valueSets.fsh
MedicationCodesUvIps                               ValueSet   valueSets.fsh
MedicationIPS                                      Profile    MedicationIPS.fsh
MedicationSnomedCodesUvIps                         ValueSet   valueSets.fsh
MedicationStatementIPS                             Profile    MedicationStatementIPS.fsh
NoAllergiesInfoUvIps                               ValueSet   valueSets.fsh
NoDevicesInfoUvIps                                 ValueSet   valueSets.fsh
NoImmunizationInfoUvIps                            ValueSet   valueSets.fsh
NoMedsInfoUvIps                                    ValueSet   valueSets.fsh
NoProbsInfoUvIps                                   ValueSet   valueSets.fsh
NoProceduresInfoUvIps                              ValueSet   valueSets.fsh
ObservationAlcoholUseUvIps                         Profile    ObservationAlcoholUseUvIps.fsh
ObservationPregnancyEddUvIps                       Profile    ObservationPregnancyEddUvIps.fsh
ObservationPregnancyOutcomeUvIps                   Profile    ObservationPregnancyOutcomeUvIps.fsh
ObservationPregnancyStatusUvIps                    Profile    ObservationPregnancyStatusUvIps.fsh
ObservationResultsLaboratoryUvIps                  Profile    ObservationResultsLaboratoryUvIps.fsh
ObservationResultsPathologyUvIps                   Profile    ObservationResultsPathologyUvIps.fsh
ObservationResultsRadiologyUvIps                   Profile    ObservationResultsRadiologyUvIps.fsh
ObservationResultsUvIps                            Profile    ObservationResultsUvIps.fsh
ObservationTobaccoUseUvIps                         Profile    ObservationTobaccoUseUvIps.fsh
OrganizationUvIps                                  Profile    OrganizationUvIps.fsh
PatientUvIps                                       Profile    PatientUvIps.fsh
PersonalRelationshipUvIps                          ValueSet   valueSets.fsh
PractitionerRoleUvIps                              Profile    PractitionerRoleUvIps.fsh
PractitionerUvIps                                  Profile    PractitionerUvIps.fsh
PregnanciesSummaryUvIps                            ValueSet   valueSets.fsh
PregnancyStatusUvIps                               ValueSet   valueSets.fsh
ProblemSeverityUvIps                               ValueSet   valueSets.fsh
ProblemTypeUvIps                                   ValueSet   valueSets.fsh
ProcedureUvIps                                     Profile    ProcedureUvIps.fsh
ProceduresUvIps                                    ValueSet   valueSets.fsh
QuantityIPS                                        Profile    QuantityIPS.fsh
RangeIPS                                           Profile    RangeIPS.fsh
RatioIPS                                           Profile    RatioIPS.fsh
ResultsCodedValuesLabGpsUvIps                      ValueSet   valueSets.fsh
ResultsCodedValuesPathologyGpsUvIps                ValueSet   valueSets.fsh
ResultsLabAboRhGroupUvGpsIps                       ValueSet   valueSets.fsh
ResultsLabObservationUvIps                         ValueSet   valueSets.fsh
ResultsLabPresenceAbsenceGpsUvIps                  ValueSet   valueSets.fsh
ResultsOrganismGpsUvIps                            ValueSet   valueSets.fsh
ResultsPathObservationUvIps                        ValueSet   valueSets.fsh
ResultsRadMeasuresObservationGpsDicomUvIps         ValueSet   valueSets.fsh
ResultsRadObservationUvIps                         ValueSet   valueSets.fsh
ResultsRadTxtObsGpsDicomLoincUvIps                 ValueSet   valueSets.fsh
ResultsSpecimenCollectionMethodGpsUvIps            ValueSet   valueSets.fsh
ResultsSpecimenTypeGpsUvIps                        ValueSet   valueSets.fsh
RouteOfAdminUvIps                                  ValueSet   valueSets.fsh
SimpleQuantityIPS                                  Profile    SimpleQuantityIPS.fsh
SnomedIntlGps                                      ValueSet   valueSets.fsh
SpecimenUvIps                                      Profile    SpecimenUvIps.fsh
TII-ImagingStudy-5-1                               Instance   instances.fsh
TII-Organization1                                  Instance   instances.fsh
TargetDiseasesGpsUvIps                             ValueSet   valueSets.fsh
TargetDiseasesUvIps                                ValueSet   valueSets.fsh
TargetSiteCodeUvIps                                ValueSet   valueSets.fsh
VaccinesGpsUvIps                                   ValueSet   valueSets.fsh
VaccinesUvIps                                      ValueSet   valueSets.fsh
WhoAtcUvIps                                        ValueSet   valueSets.fsh
a6a5a1d5-c896-4c7e-b922-888fcc7e6ae4               Instance   instances.fsh
aa11a2be-3e36-4be7-b58a-6fc3dace2741               Instance   instances.fsh
absence-to-snomed-uv-ips                           Instance   instances.fsh
absent-unknown-uv-ips                              Instance   instances.fsh
alcoholuse-example                                 Instance   instances.fsh
allergyintolerance-with-abatement                  Instance   instances.fsh
b4916505-a06b-460c-9be8-011609282457               Instance   instances.fsh
bdl-ips-1                                          Invariant  BundleUvIps.fsh
c220e36c-eb67-4fc4-9ba1-2fabc52acec6               Instance   instances.fsh
c4597aa2-688a-401b-a658-70acc6de28c6               Instance   instances.fsh
c64139e7-f02d-409c-bf34-75e8bf23bc80               Instance   instances.fsh
c7781f44-6df8-4a8b-9e06-0b34263a47c5               Instance   instances.fsh
cc354e00-a419-47ea-8b6c-1768b2a01646               Instance   instances.fsh
current-smoking-status-uv-ips                      Instance   instances.fsh
eumfh-39-07-1-of-AllergyIntolerance                Instance   instances.fsh
eumfh-39-07-1-of-Condition                         Instance   instances.fsh
eumfh-39-07-1-of-Medication                        Instance   instances.fsh
eumfh-39-07-1-of-MedicationStatement               Instance   instances.fsh
eumfh-39-07-1-of-Procedure                         Instance   instances.fsh
eumfh-39-07-of-Patient                             Instance   instances.fsh
eumfh-39-07-of-Practitioner                        Instance   instances.fsh
eumfh-70-275-1-of-Device                           Instance   instances.fsh
eumfh-70-275-1-of-DeviceUseStatement               Instance   instances.fsh
hasComponentifValueStringEmpty                     Invariant  ObservationResultsRadiologyUvIps.fsh
hasMemberOrComponent                               Invariant  ObservationResultsRadiologyUvIps.fsh
hemoglobin-of-DiagnosticReport                     Instance   instances.fsh
hemoglobin-of-Observation                          Instance   instances.fsh
ips-1                                              Invariant  ObservationResultsRadiologyUvIps.fsh
ips-2                                              Invariant  invariants.fsh
ips-pat-1                                          Invariant  PatientUvIps.fsh
lab-org-example                                    Instance   instances.fsh
media-example-smile                                Instance   instances.fsh
pat-cnt-2or3-char                                  Invariant  PatientUvIps.fsh
pathology-cancer                                   Instance   instances.fsh
patient-example-female                             Instance   instances.fsh
pregnancy-edd-example                              Instance   instances.fsh
pregnancy-outcome-example                          Instance   instances.fsh
pregnancy-status-example                           Instance   instances.fsh
